id,brand,name,assistant,version,model_scope,market,status,family,surface,trigger,modalities,context,referential_type,referential_modes,capabilities,action_result,limitations,evidence_ids,evidence_grade,flow_steps,media_ids,visual_status,video_status,verification_note,entry_evidence_grade,source_type,source_path,created_in,feature_id,feature_name,slide,source_urls
HON-E018,honor,长按电源键1秒唤醒YOYO,YOYO,MagicOS 10,荣耀400/400 Pro中国大陆机型，MagicOS 10；无相关菜单则不支持,中国大陆,机型/版本限定,物理按键,机身电源键,按住电源键1秒,触控/按键,通用系统上下文,无指代,无指代 | 对话指代,问答 | 设备操作,YOYO 浮层,1秒来自该官方型号操作页；不是跨品牌通用阈值。,SRC-014,A,按住电源键1秒 | 说出或输入请求,,VISUAL_GAP_SOURCE_LINK_ONLY,VIDEO_GAP,截至2026-09-08独立核验上述来源正文；适用范围限model_scope。旧媒体未逐项核图，本审计不覆盖原媒体字段；参见media_review。,,,,,HON-F01,YOYO全局唤醒,43,https://www.honor.com/cn/support/content/zh-cn15887823/
HON-E019,honor,线控耳机唤醒YOYO,YOYO,MagicOS 10,荣耀400/400 Pro中国大陆机型，MagicOS 10；无相关菜单则不支持；另需兼容线控耳机,中国大陆,机型/版本限定,物理按键,支持的荣耀耳机,长按兼容线控耳机播控键,语音 | 触控/按键,通用系统上下文,无指代,无指代 | 对话指代,唤醒YOYO | 语音问答,耳机语音反馈,蓝牙设备唤醒虽然另有开关，但具体外设按法不统一，本条不推广到所有蓝牙耳机。,SRC-014,A,连接兼容耳机 | 长按线控耳机播控键 | 说出请求,,VISUAL_GAP_SOURCE_LINK_ONLY,VIDEO_GAP,截至2026-09-08独立核验上述来源正文；适用范围限model_scope。旧媒体未逐项核图，本审计不覆盖原媒体字段；参见media_review。,,,,,HON-F01,YOYO全局唤醒,43,https://www.honor.com/cn/support/content/zh-cn15887823/
HON-E004,honor,YOYO看见／音视频对话（经YOYO面板）,YOYO,MagicOS 10,Magic8系列等HON-AUD-S003列出的手机；官方还要求具备AI键/视频菜单，存在条件限制,中国大陆,机型/版本限定,物理按键,YOYO面板音视频通话入口,电源键唤醒后进入YOYO音视频通话,触控 | 语音 | 视觉,实时相机画面,混合方式,混合方式 | 相机取景 | 对话指代,实时相机问答 | 语音/视频对话,实时视觉答案,原AI键直接取景的按法未获统一证实。专文的适用产品名单与无AI键不支持提示须按实际菜单交叉核验。,HON-AUD-S003,A,按电源键1秒唤醒YOYO | 点击YOYO打电话提示，或上滑全屏后进入音视频通话 | 选择视频通话并对准对象提问 | 需要结束时点击结束或说出退出通话,,VISUAL_GAP_SOURCE_LINK_ONLY,VIDEO_GAP,截至2026-09-08独立核验上述来源正文；适用范围限model_scope。旧媒体未逐项核图，本审计不覆盖原媒体字段；参见media_review。,,,,,HON-F02,YOYO看见视频通话,43,https://www.honor.com/cn/support/content/zh-cn15887017/
HON-E005,honor,指关节一圈即达任意门,YOYO,MagicOS 9.0,荣耀X70中国大陆机型；MagicOS 9.0,中国大陆,机型/版本限定,识屏与圈选,任意界面,单指关节敲击并画圈,手势,当前屏幕或所选对象,圈选／框选,圈选／框选 | 自动对象识别,对象识别 | 文字提取 | 服务直达,任意门服务列表,指关节一圈即达关闭时只保留局部截图；文字服务未出现可开启图文自动识别或点击文字提取。,SRC-015,A,用单指关节敲击并画圈框选内容 | 点击任意门推荐的目标服务,,VISUAL_GAP_SOURCE_LINK_ONLY,VIDEO_GAP,截至2026-09-08独立核验上述来源正文；适用范围限model_scope。旧媒体未逐项核图，本审计不覆盖原媒体字段；参见media_review。,,,,,HON-F03,指关节圈选任意门,44,https://www.honor.com/cn/support/content/zh-cn15882095/
HON-E020,honor,截屏后任意门／YOYO服务,YOYO,MagicOS 10,荣耀Magic8系列中国大陆机型；对应玩机技巧所示版本，功能可能需更新,中国大陆,机型/版本限定,截屏,截屏缩略图／编辑器,截屏后点击缩略图下方服务,触控,当前截屏,截图裁切,截图裁切,截图后服务推荐 | 图片问答,推荐服务处理该截图；YOYO为可能出现的服务之一,YOYO是否作为推荐项出现取决于内容；不能保证每次都显示固定问YOYO按钮。,SRC-065,A,截屏 | 点击缩略图下方任意门或推荐的YOYO服务 | 选择要执行的后续任务,,VISUAL_GAP_SOURCE_LINK_ONLY,VIDEO_GAP,截至2026-09-08独立核验上述来源正文；适用范围限model_scope。旧媒体未逐项核图，本审计不覆盖原媒体字段；参见media_review。,,,,,HON-F03,指关节圈选任意门,44,https://www.honor.com/cn/phones/honor-magic8-series/tips/
HON-E033,honor,截屏缩略图拖入任意门,YOYO,MagicOS 9,官方支持页适用荣耀X70,中国大陆,机型/版本限定,分享／拖拽,截屏缩略图 → 任意门,拖动缩略图至边缘服务,触控,截图或裁剪区域,截图裁切,截图裁切 | 拖拽投喂,截图路由,目标服务接收截图,与HON-E020点击截图下方推荐服务的入口动作不同；服务是否AI需单独确认。,SRC-015,A,截取当前屏幕 | 需要局部内容时先编辑裁剪 | 长按缩略图并拖至边缘的目标服务 | 松手后在接收服务中继续操作,,VISUAL_GAP_SOURCE_LINK_ONLY,VIDEO_GAP,截至2026-09-08独立核验上述来源正文；适用范围限model_scope。本行未逐项核对主流程媒体；新增行暂标视觉/视频GAP。,,,,,HON-F03,指关节圈选任意门,44,https://www.honor.com/cn/support/content/zh-cn15882095/
HON-E006,honor,选中文字拖入任意门,YOYO,MagicOS 9.0,荣耀X70中国大陆机型；MagicOS 9.0,中国大陆,机型/版本限定,分享／拖拽,文本选区到屏幕边缘,选中文字后长按拖至左右边缘,触控/按键 | 手势,选中的文字,文本选择,文本选择 | 拖拽投喂,导航 | 日程/笔记 | 分享,推荐服务或 App 直达,需任意门与相关服务已开启；不是所有界面都能直接选中文字。,SRC-015,A,选中页面文字 | 再次长按选中文字并拖至屏幕左侧或右侧 | 继续拖到需要的服务并松手,HN39-02,有界面/功能示意（见媒体边界）,LOCAL_CLIP,截至2026-09-08独立核验上述来源正文；适用范围限model_scope。旧媒体未逐项核图，本审计不覆盖原媒体字段；参见media_review。,,,,,HON-F04,拖拽任意门,45,https://www.honor.com/cn/support/content/zh-cn15882095/ | https://www.honor.com/cn/phones/honor-magic8-series/tips/
HON-E007,honor,图片拖入任意门,YOYO,MagicOS 9.0,荣耀X70中国大陆机型；MagicOS 9.0,中国大陆,机型/版本限定,分享／拖拽,支持的图片界面 → 屏幕边缘任意门,长按对象拖至左右边缘,触控/按键 | 手势,被长按选中的图片,拖拽投喂,拖拽投喂,图片分享 | 对象服务,任意门动作,文件拖放另列；无法选中内容时使用截屏缩略图路径。,SRC-015,A,长按支持界面中的图片 | 拖至屏幕左右边缘唤起任意门 | 拖到目标服务后松手,HN39-01,有界面/功能示意（见媒体边界）,LOCAL_CLIP,截至2026-09-08独立核验上述来源正文；适用范围限model_scope。旧媒体未逐项核图，本审计不覆盖原媒体字段；参见media_review。,,,,,HON-F04,拖拽任意门,45,https://www.honor.com/cn/support/content/zh-cn15882095/ | https://www.honor.com/cn/phones/honor-magic8-series/tips/
HON-E032,honor,文件拖入任意门,YOYO,MagicOS 9,官方支持页适用荣耀X70；其他机型另核,中国大陆,机型/版本限定,分享／拖拽,文件列表 → 任意门,长按文件拖至边缘服务,触控,选中的文件,拖拽投喂,拖拽投喂,文件路由,目标服务接收文件,路由功能本身不等于生成式AI；接收服务能力另行判断。,SRC-015,A,在支持拖动的应用中打开文件列表 | 长按文件并拖向屏幕左右边缘 | 移至任意门目标服务后松手 | 在接收服务中继续操作,,VISUAL_GAP_SOURCE_LINK_ONLY,VIDEO_GAP,截至2026-09-08独立核验上述来源正文；适用范围限model_scope。本行未逐项核对主流程媒体；新增行暂标视觉/视频GAP。,,,,,HON-F04,拖拽任意门,45,https://www.honor.com/cn/support/content/zh-cn15882095/
HON-E012,honor,YOYO看见拍照／图片问答,YOYO,MagicOS 10,荣耀WIN系列中国大陆手机版本，具体功能以该机型菜单为准,中国大陆,机型/版本限定,相机实景,YOYO看见拍照界面,YOYO面板 > 看见 > 拍照/导入图片,触控 | 视觉,静态拍摄或导入图片,混合方式,混合方式 | 相机取景 | 点击对象 | 圈选／框选,识物 | 拍照翻译 | 文字提取 | 扫描,视觉问答,新技巧页称YOYO看见；旧拍照问是历史名称。当前仅验证此面板路径，其他入口需逐条列明。,HON-AUD-S006,A,唤醒YOYO智能体 | 点击进入YOYO看见 | 拍照或导入图片 | 选择识物、翻译、文字提取等任务,,VISUAL_GAP_SOURCE_LINK_ONLY,VIDEO_GAP,截至2026-09-08独立核验上述来源正文；适用范围限model_scope。旧媒体未逐项核图，本审计不覆盖原媒体字段；参见media_review。,,,,,HON-F05,照片识物与Magic文本,44,https://www.honor.com/cn/phones/honor-win/tips/
HON-E016,honor,图片Magic文本识别,YOYO,MagicOS 10,荣耀Power中国大陆机型，MagicOS 10,中国大陆,机型/版本限定,辅助功能,图片查看器,点击图片文本图标或长按文字区域,触控,当前图片中的文字,文本选择,文本选择,文字提取 | 关联服务,文字与动作列表,部分语种；原智慧视觉统称被收窄，相机扫描与截图OCR另有路径。,HON-AUD-S004,A,打开图片，点击文本图标再选Magic文本，或单指长按图片文字 | 拖动光标选择文本 | 选择复制、分享或下划线文本关联服务,,VISUAL_GAP_SOURCE_LINK_ONLY,VIDEO_GAP,截至2026-09-08独立核验上述来源正文；适用范围限model_scope。旧媒体未逐项核图，本审计不覆盖原媒体字段；参见media_review。,,,,,HON-F05,照片识物与Magic文本,44,https://www.honor.com/cn/support/content/zh-cn15891092/
HON-E028,honor,图库自然语言搜图,YOYO,MagicOS 10,荣耀WIN系列中国大陆手机版本，具体功能以该机型菜单为准,中国大陆,机型/版本限定,原生应用 AI,图库搜索框,图库 > 相册 > 搜索框输入描述,文字,图库搜索,无指代,无指代,本机照片/视频语义检索,匹配媒体列表,以WIN技巧页为明确机型证据；不外推所有荣耀图库。,HON-AUD-S006,A,进入图库 > 相册 | 在搜索框描述目标画面 | 按照片、文字、视频等分类查看匹配结果,,VISUAL_GAP_SOURCE_LINK_ONLY,VIDEO_GAP,截至2026-09-08独立核验上述来源正文；适用范围限model_scope。旧媒体未逐项核图，本审计不覆盖原媒体字段；参见media_review。,,,,,HON-F06,图库自然语言搜图,44,https://www.honor.com/cn/phones/honor-win/tips/
HON-E009,honor,三指下滑保存YOYO记忆,YOYO,MagicOS 10,荣耀Magic8系列中国大陆机型；对应玩机技巧所示版本，功能可能需更新,中国大陆,机型/版本限定,识屏与圈选,任意支持界面,三指下滑,手势,当前屏幕,整屏隐式指代,整屏隐式指代,内容保存 | 解析 | 生成待办/日程,写入 YOYO 记忆,联网及最新YOYO记忆支持；不是所有机型同功能。,SRC-065 | SRC-013,A,打开要保存的图片、网页、视频或文档 | 三指下滑屏幕 | 进入YOYO记忆检查内容 | 需要日程时打开AI解读并确认添加,HM17-01,有界面/功能示意（见媒体边界）,LOCAL_CLIP,V17核图：三指下滑文档，出现已记住胶囊并停留文档。原MED-V011短片5–15.48秒是语音日程支线，不能证明三指收录。,,,,,HON-F07,YOYO记忆,46,https://www.honor.com/cn/phones/honor-magic8-series/tips/ | https://www.honor.com/cn/magic-os/ | https://www.honor.com/content/dam/honor/cn/product/smartphone/honor-magic8-series/tips/imgs/list1/video/list101.mp4
HON-E031,honor,AI键保存YOYO记忆,YOYO,MagicOS 10；AI键动作可配置,Magic8系列等具有AI键并支持YOYO记忆的中国大陆手机,中国大陆,机型/版本限定,物理按键,侧面AI键,按绑定YOYO记忆的AI键,触控,当前屏幕,主动上下文,主动上下文,屏幕内容收录,内容保存至YOYO记忆,需支持机型、对应系统/应用版本及相关权限；本轮未实机复核。,SRC-065 | HON-AUD-S010,A,打开待保存内容 | 按已配置的AI键 | 在YOYO记忆中查看收录结果,,VISUAL_GAP_SOURCE_LINK_ONLY,VIDEO_GAP,截至2026-09-08独立核验上述来源正文；适用范围限model_scope。本行未逐项核对主流程媒体；新增行暂标视觉/视频GAP。,,,,,HON-F07,YOYO记忆,46,https://www.honor.com/cn/phones/honor-magic8-series/tips/ | https://www.honor.com/cn/support/content/zh-cn15887011/
HON-E040,honor,YOYO对话记住当前内容,YOYO,MagicOS 10 / Magic8系列官方技巧；片内精确build未标,荣耀Magic8系列中国大陆机型；对应玩机技巧所示版本，功能可能需更新,中国大陆,机型/版本限定,助手对话,已唤起的YOYO对话,在YOYO对话中输入“帮我记住这个日程”等记忆请求,语音 | 文本,当前屏幕,整屏隐式指代,整屏隐式指代,内容保存 | 解析 | 生成待办/日程,收录结果提示可见，未验证后台持久化,这是记录意图的对话入口，不重复计算通用YOYO唤醒方式。原教程记忆卡与日历的星期标注不一致；未演示日历添加确认或准确性验证。,SRC-065,A,先在当前内容唤起YOYO | 在对话中要求记住这个日程 | 核对记忆卡；教程返回桌面后打开日历,MED-V011,有界面/功能示意（见媒体边界）,LOCAL_CLIP,V17官方tips收录记忆段及原片核查；与通用唤醒分开，按内容提交入口记录。,,,,,HON-F07,YOYO记忆,46,https://www.honor.com/cn/phones/honor-magic8-series/tips/ | https://www.honor.com/content/dam/honor/cn/product/smartphone/honor-magic8-series/tips/imgs/list1/video/list101.mp4
HON-E041,honor,支持应用收藏同步YOYO记忆,YOYO,MagicOS 10 / Magic8系列官方技巧；片内精确build未标,荣耀Magic8系列中国大陆机型；对应玩机技巧所示版本，功能可能需更新,中国大陆,机型/版本限定,分享／拖拽,支持App的收藏按钮,点击应用内收藏星标,触控,当前屏幕,点击对象,点击对象,内容保存 | 解析 | 生成待办/日程,收录结果提示可见，未验证后台持久化,仅支持的应用及配置；原教程为荣耀俱乐部收藏。首次配置未展示；后续环保文章摘要是另一条内容，不能当同一收藏的结果。,SRC-065,A,在已支持同步的应用打开内容 | 点击收藏星标 | 核对收藏成功与YOYO记忆通知,HM17-02,有界面/功能示意（见媒体边界）,LOCAL_CLIP,V17官方tips收录记忆段及原片核查；与通用唤醒分开，按内容提交入口记录。,,,,,HON-F07,YOYO记忆,46,https://www.honor.com/cn/phones/honor-magic8-series/tips/ | https://www.honor.com/content/dam/honor/cn/product/smartphone/honor-magic8-series/tips/imgs/list1/video/list101.mp4
HON-E011,honor,YOYO建议服务卡（快递示例）,YOYO,MagicOS 10,荣耀WIN系列中国大陆手机版本，具体功能以该机型菜单为准,中国大陆,机型/版本限定,通知／卡片／主动建议,桌面／负一屏YOYO建议卡,物流事件后点击提醒卡,系统主动 | 触控,系统推断的当前情境,主动上下文,主动上下文,快递提醒 | 服务直达,建议卡片或直达服务,不同服务需不同账号/应用；未显示取件码时需额外点查看。,HON-AUD-S006,A,开启提醒方式和所需位置权限 | 有物流更新时查看桌面/负一屏卡 | 点击卡片或查看取件码,,VISUAL_GAP_SOURCE_LINK_ONLY,VIDEO_GAP,截至2026-09-08独立核验上述来源正文；适用范围限model_scope。旧媒体未逐项核图，本审计不覆盖原媒体字段；参见media_review。,,,,,HON-F08,YOYO情境服务卡,47,https://www.honor.com/cn/phones/honor-win/tips/
HON-E013,honor,输入框／选中文字AI帮写,YOYO,MagicOS 10,荣耀Magic8系列中国大陆机型；对应玩机技巧所示版本，功能可能需更新,中国大陆,机型/版本限定,键盘与选中文本菜单,文本编辑上下文菜单,长按输入框/选中文字 > AI帮写,触控,当前输入框、选中文字或用户创作要求,文本选择,文本选择,创作 | 改写 | 摘要 | 翻译,文本建议或替换,不同平台支持情况与文案创作入口有差异。,SRC-065,A,在支持场景长按输入框或选中文字 | 点击AI帮写并选择创作/润色等任务 | 核对生成内容后选择替换或插入原文,,VISUAL_GAP_SOURCE_LINK_ONLY,VIDEO_GAP,截至2026-09-08独立核验上述来源正文；适用范围限model_scope。旧媒体未逐项核图，本审计不覆盖原媒体字段；参见media_review。,,,,,HON-F09,AI帮写,48,https://www.honor.com/cn/phones/honor-magic8-series/tips/
HON-E023,honor,荣耀文档AI生成PPT,YOYO,MagicOS 10,荣耀Magic8系列中国大陆机型；对应玩机技巧所示版本，功能可能需更新,中国大陆,机型/版本限定,原生应用 AI,手机荣耀文档,荣耀文档 > AI文档 > 生成PPT,触控 | 文字,当前文档,无指代,无指代,基于文档生成PPT | PPT内容修改,可编辑演示文稿,手机官方技巧已明确支持，不应因另有PC版PPT大师就误删；来源不支持无条件任意格式导出。,SRC-065,A,在荣耀文档打开要转换的文档 | 点击AI文档 | 输入生成PPT要求或点击生成PPT | 选择模板并生成 | 打开结果按需进行AI修改,MED-V014,有界面/功能示意（见媒体边界）,LOCAL_CLIP,截至2026-09-08独立核验上述来源正文；适用范围限model_scope。旧媒体未逐项核图，本审计不覆盖原媒体字段；参见media_review。,,,,,HON-F10,荣耀文档生成PPT,48,https://www.honor.com/cn/phones/honor-magic8-series/tips/ | https://www.honor.com/content/dam/honor/cn/product/smartphone/honor-magic8-series/tips/imgs/list1/video/list106.mp4
HON-E024,honor,荣耀笔记AI会议纪要,YOYO,MagicOS 9.0,HON-AUD-S001列出的支持机型，包括Magic7/6/5、400、X70等；不等于全部荣耀,中国大陆,机型/版本限定,原生应用 AI,荣耀笔记,笔记内AI笔记 > AI会议纪要,触控,笔记内录制的会议与转写,点击对象,点击对象,生成会议纪要 | 笔记整理,结构化会议纪要,官方要求正文内容大于200字；并非任意空白笔记或极短录音都可生成。,HON-AUD-S001,A,会议中使用荣耀笔记录音 | 会后在该笔记打开AI笔记 | 点击AI会议纪要并选择类型 | 生成后插入原文或存为新笔记 | 保存笔记,HN39-03 | HN39-04,VISUAL_GAP_SOURCE_LINK_ONLY,LOCAL_CLIP,截至2026-09-08独立核验上述来源正文；适用范围限model_scope。旧媒体未逐项核图，本审计不覆盖原媒体字段；参见media_review。,,,,,HON-F11,AI帮记与会议纪要,49,https://www.honor.com/cn/support/content/zh-cn15868680/ | https://www.honor.com/cn/honor-esg/tech-for-good/
HON-E034,honor,AI侧边栏进入AI帮记,YOYO,MagicOS 10；按WIN系列玩机指南,荣耀WIN系列支持机型；页面未给出统一最低小版本,中国大陆,机型/版本限定,系统侧边栏,AI侧边栏 → AI帮记悬浮窗,侧边栏点击AI帮记,触控,当前会议或播放的音频,主动上下文,主动上下文 | 点击对象,会议转写 | 会议摘要,转写、录音及会后纪要,需联网；官方明确侧边栏项目但本页未说明呼出侧边栏的精确手势，不补写左/右/长按方向。,HON-AUD-S006,A,在当前界面呼出AI侧边栏并点击AI帮记 | 在悬浮窗选择收音方式并开启录制或语音转文本 | 会议结束后到笔记检查纪要,,VISUAL_GAP_SOURCE_LINK_ONLY,VIDEO_GAP,截至2026-09-08独立核验上述来源正文；适用范围限model_scope。本行未逐项核对主流程媒体；新增行暂标视觉/视频GAP。,,,,,HON-F11,AI帮记与会议纪要,49,https://www.honor.com/cn/phones/honor-win/tips/
HON-E035,honor,桌面快捷方式进入AI帮记,YOYO,MagicOS 10；按WIN系列玩机指南,荣耀WIN系列支持机型,中国大陆,机型/版本限定,桌面与搜索,桌面AI帮记快捷方式,点击已添加的快捷方式,触控,待记录的会议或音频,主动上下文,主动上下文 | 点击对象,音频记录与整理,录音、转写和纪要,需联网并完成桌面快捷方式添加；不代表默认预装在桌面。,HON-AUD-S006,A,打开设置 > 荣耀AI & YOYO > AI帮记并开启 | 点击添加创建桌面快捷方式 | 从桌面打开AI帮记 | 设置收音方式并开启记录，结束后到笔记检查结果,,VISUAL_GAP_SOURCE_LINK_ONLY,VIDEO_GAP,截至2026-09-08独立核验上述来源正文；适用范围限model_scope。本行未逐项核对主流程媒体；新增行暂标视觉/视频GAP。,,,,,HON-F11,AI帮记与会议纪要,49,https://www.honor.com/cn/phones/honor-win/tips/
HON-E026,honor,AI翻译应用对话／同传,YOYO,MagicOS 10,荣耀Magic8系列中国大陆机型；对应玩机技巧所示版本，功能可能需更新,中国大陆,机型/版本限定,锁屏／控制中心,实用工具 > AI翻译,打开AI翻译并选模式,触控 | 语音,用户提供的对话或待翻译音频,无指代,无指代 | 点击对象,对话翻译 | 同声传译,字幕或译音,官方确认应用入口；旧表悬浮入口/屏幕翻译未由此页确认，已去除；需联网，支持部分语种。,SRC-065,A,在桌面实用工具中打开AI翻译 | 选择对话翻译或同声传译 | 设置源语言与目标语言 | 点击开始；完成后点击结束,MED-V016,有界面/功能示意（见媒体边界）,LOCAL_CLIP,截至2026-09-08独立核验上述来源正文；适用范围限model_scope。旧媒体未逐项核图，本审计不覆盖原媒体字段；参见media_review。,,,,,HON-F12,面对面对话与同传,48,https://www.honor.com/cn/phones/honor-magic8-series/tips/ | https://www.honor.com/content/dam/honor/cn/product/smartphone/honor-magic8-series/tips/imgs/list5/video/list502.mp4
HON-E015,honor,AI通话助理打字回复,YOYO,MagicOS 10,Magic8等HON-AUD-S002所列中国大陆手机；需对应AI通话菜单,中国大陆,机型/版本限定,原生应用 AI,系统通话AI接听,AI接听 > 通话字幕,触控 | 文字,当前电话,无指代,无指代,打字转语音回复 | 实时通话转写,收到对方语音的转写文字；输入回复转换为语音发送,删除原把翻译、代接、摘要合成一个入口的泛化；识别受口音、语速、噪声影响。,HON-AUD-S002,A,来电或拨号时点击AI接听 > 通话字幕 | 输入文字并发送给对方听 | 需要时退出回到语音通话,,VISUAL_GAP_SOURCE_LINK_ONLY,VIDEO_GAP,截至2026-09-08独立核验上述来源正文；适用范围限model_scope。旧媒体未逐项核图，本审计不覆盖原媒体字段；参见media_review。,,,,,HON-F13,AI接听与文字回复,50,https://www.honor.com/cn/support/content/zh-cn15886177/
HON-E038,honor,条件触发AI自动接听,YOYO,MagicOS 10,以AI通话助理支持页列示手机为准,中国大陆,机型/版本限定,通知／卡片／主动建议,系统来电及后台接听,来电满足用户配置的条件,系统主动 | 触控配置,符合规则的来电,主动上下文,主动上下文,自动接听,AI应答与通话记录,需支持机型、对应系统/应用版本及相关权限；本轮未实机复核。,HON-AUD-S002,A,在设置 > 荣耀AI & YOYO > AI通话 > AI通话中开启功能 | 进入AI自动接听并设置等待时长、号码类型或免打扰条件 | 满足条件的来电可不手动接听 | 事后打开AI通话记录检查结果,,VISUAL_GAP_SOURCE_LINK_ONLY,VIDEO_GAP,截至2026-09-08独立核验上述来源正文；适用范围限model_scope。本行未逐项核对主流程媒体；新增行暂标视觉/视频GAP。,,,,,HON-F13,AI接听与文字回复,50,https://www.honor.com/cn/support/content/zh-cn15886177/
HON-E039,honor,通话记录进入AI纪要,YOYO,MagicOS 10,以AI通话助理支持页列示手机为准,中国大陆,机型/版本限定,原生应用 AI,电话 → AI通话记录详情,点击AI通话纪要,触控,选中的AI通话记录,点击对象,点击对象,通话摘要 | 笔记留存,生成纪要并可导出笔记,需支持机型、对应系统/应用版本及相关权限；本轮未实机复核。,HON-AUD-S002,A,完成AI通话后打开通知，或进入电话菜单中的AI通话记录 | 选择对应记录并点击AI通话纪要 | 需要留存时点击导出至笔记,,VISUAL_GAP_SOURCE_LINK_ONLY,VIDEO_GAP,截至2026-09-08独立核验上述来源正文；适用范围限model_scope。本行未逐项核对主流程媒体；新增行暂标视觉/视频GAP。,,,,,HON-F13,AI接听与文字回复,50,https://www.honor.com/cn/support/content/zh-cn15886177/
HON-E036,honor,通话界面进入通话翻译,YOYO,MagicOS 10；按WIN系列玩机指南,荣耀WIN系列支持机型,中国大陆,机型/版本限定,原生应用 AI,系统电话通话界面,通话中点击通话翻译,触控,当前通话,主动上下文,主动上下文 | 无指代,通话翻译,双方语言实时转译及播报,支持语种和界面以设备实际显示为准；不能将对话翻译App与通话翻译混为同一入口。,HON-AUD-S006,A,接通电话后点击通话翻译 | 设置双方语言 | 继续交谈并查看或收听译文,,VISUAL_GAP_SOURCE_LINK_ONLY,VIDEO_GAP,截至2026-09-08独立核验上述来源正文；适用范围限model_scope。本行未逐项核对主流程媒体；新增行暂标视觉/视频GAP。,,,,,HON-F14,通话翻译,50,https://www.honor.com/cn/phones/honor-win/tips/
HON-E030,honor,AI通话反诈提示,系统安全／YOYO,MagicOS 10,荣耀400/400 Pro中国大陆机型，MagicOS 10；无相关菜单则不支持,中国大陆,机型/版本限定,通知／卡片／主动建议,系统通话风险提示,已开启后在支持通话中自动检测并提示,系统主动,支持的通话场景,无指代,无指代,诈骗话术/变声检测提示,警告与处置建议,普通话、部分应用；第三方语音通话只检测变声，不能进行诈骗话术检测；不能宣称全通道同能力。,HON-AUD-S005,A,接听陌生号码电话 | 出现风险提示时查看并另行核实,,VISUAL_GAP_SOURCE_LINK_ONLY,VIDEO_GAP,截至2026-09-08独立核验上述来源正文；适用范围限model_scope。旧媒体未逐项核图，本审计不覆盖原媒体字段；参见media_review。,,,,,HON-F15,反诈提示与主动检测,50,https://www.honor.com/cn/support/content/zh-cn15887690/
HON-E037,honor,YOYO情境提示条启动反诈检测,YOYO,MagicOS 10,官方支持页列示荣耀400、400 Pro,中国大陆,机型/版本限定,原生应用 AI,YOYO情境反诈提示条,导航唤醒后点击检测提示条,触控,当前通话、视频或直播,主动上下文,主动上下文 | 无指代,主动反诈检测,对应场景的检测结果,第三方语音通话仅变声检测，不支持诈骗话术检测；系统陌生电话可检测变声和话术；不可视作真实性保证。,HON-AUD-S005,A,先开启YOYO助理 | 在受支持的通话、视频或直播场景长按导航条或三键主屏幕按钮唤醒 | 点击出现的反诈检测提示条 | 查看检测结果,,VISUAL_GAP_SOURCE_LINK_ONLY,VIDEO_GAP,截至2026-09-08独立核验上述来源正文；适用范围限model_scope。本行未逐项核对主流程媒体；新增行暂标视觉/视频GAP。,,,,,HON-F15,反诈提示与主动检测,50,https://www.honor.com/cn/support/content/zh-cn15887690/
HON-E014,honor,图库魔法修图AI消除,YOYO,MagicOS 10,荣耀Magic8系列中国大陆机型；对应玩机技巧所示版本，功能可能需更新,中国大陆,机型/版本限定,原生应用 AI,图库编辑器,图库 > 魔法修图 > AI消除,手势 | 触控,图库编辑器,圈选／框选,圈选／框选 | 自动对象识别,路人/杂物消除 | 反光消除,保存消除处理后的图片,其他生成编辑工具不可统一共享此消除入口证据。,SRC-065,A,打开图库中的照片 | 进入魔法修图 > AI消除 | 圈选、涂抹或选用相应消除模式 | 对比效果后保存,MED-V015,有界面/功能示意（见媒体边界）,LOCAL_CLIP,截至2026-09-08独立核验上述来源正文；适用范围限model_scope。旧媒体未逐项核图，本审计不覆盖原媒体字段；参见media_review。,,,,,HON-F16,图库魔法修图,50,https://www.honor.com/cn/phones/honor-magic8-series/tips/ | https://www.honor.com/content/dam/honor/cn/product/smartphone/honor-magic8-series/tips/imgs/list3/video/list301.mp4
HON-E042,honor,当前图片购物建议,YOYO,Magic7系列官网历史动画；画面日期2024-10-21；具体系统/build未显示,官方教程手机示意；具体演示机型及系统build未显示,中国大陆官网／简体中文演示,历史官方示意；具体机型/系统build未核,识屏与上下文服务,当前图片下方的YOYO购物建议,图库图片已打开 > 长按导航条唤起YOYO > 点购同款平台,触控,当前图库图片；未手动圈选对象,混合方式,整屏隐式指代 | 自动对象识别,识别图片商品 | 查看相似商品 | 切换购物平台,停在相似商品列表；未演示返回,识别来自当前图片；未出现圈选或手动抠图。示意片不用于比较实际耗时。 Magic7官方历史动画；2024日期画面，build未标。未购买、未关闭浮条、未返回图库；非真机计时。,HON43-S01,A,图片 → 长按导航条 | 点购物平台 → 查看 → 切平台 | 停在相似商品列表；未演示返回,HN43-01,SOURCE_FRAMES_AVAILABLE,LOCAL_CLIP,官方操作动画观察；不作为现版真机测试或任务耗时数据。,A,official_instruction_animation,[LOCAL_SOURCE_NOT_INCLUDED]/mobile-ai-interactions-v2/sources/HON43-S01-magic7-yoyo.mp4,V43,HON-F17,当前图片购物建议,51,https://www.honor.com/cn/phones/honor-magic7-series/tips/002/
