id,brand,name,category,layer,slide,enter,use,finish,media,clips,images
HUA-F20,华为,小艺帮接与通话摘要,通话与影像,应用AI入口,74,电话中打开目标通话记录详情,点击对应通话右侧小艺记录标识,查看帮接内容与摘要,image,,AUDIMG-294|AUDIMG-295|AUDIMG-296|AUDIMG-297|AUDIMG-298|AUDIMG-299|AUDIMG-300|AUDIMG-301|AUDIMG-302|AUDIMG-303|AUDIMG-304|AUDIMG-305|AUDIMG-306|AUDIMG-307|AUDIMG-308|AUDIMG-309|AUDIMG-310
HUA-F22,华为,相机识物与图库抠图,通话与影像,应用AI入口,74,图库长按照片主体；相机路径据文档：快门下方上滑,图库点识图搜索；相机选小艺视觉扫一扫后拍摄,图仅见图库主体菜单；相机画面和两路退出待补,image,,IMG-153|IMG-161|IMG-162
HUA-F23,华为,图库一键成片,通话与影像,应用AI入口,74,图库多选 > 创作 > 一键成片,点击创作 > 一键成片 → 选择主题、时长；在支持机型选择AI灵动,生成后检查并编辑模板，保存成片,video,HW42-01,AUDIMG-223|AUDIMG-227|AUDIMG-228|AUDIMG-229|AUDIMG-230|AUDIMG-231|AUDIMG-232|AUDIMG-234|AUDIMG-235|AUDIMG-236|AUDIMG-237|AUDIMG-238
HUA-F21,华为,导航条一句话修图,图库修图与取消,应用AI入口,76,图库打开照片，长按底部导航条,提出油画风修图要求；图示进入生成中3%,处理中可见取消；未展示取消后状态、保存或返回原图,image,,HE20-CANCEL|AUDIMG-149|AUDIMG-150|AUDIMG-151|AUDIMG-152|AUDIMG-153|AUDIMG-154|AUDIMG-155|AUDIMG-156|AUDIMG-157|AUDIMG-158|AUDIMG-159|AUDIMG-160|AUDIMG-161|AUDIMG-162|AUDIMG-163|AUDIMG-164|AUDIMG-165|AUDIMG-166|AUDIMG-167|AUDIMG-168|AUDIMG-169
HUA-F32,华为,图库AI修图工具,图库AI修图,应用AI入口,77,图库照片点编辑，再点小艺修图,选中路人后点开始消除，查看生成结果,仍在编辑器；未保存、撤销或退出,video,HW28-03,
HUA-F24,华为,音乐推荐与歌单收藏,原生应用Agent,应用AI入口,78,音乐首页展开助手，提出音乐推荐要求,查看推荐，随后进入歌单编辑页,回到助手，歌单显示已保存；未验证播放或退出,video,H7-V08,
HUA-F25,华为,影视推荐与边看边问,原生应用Agent,应用AI入口,78,视频首页展开助手；具体点击未核实,先看影片推荐；后段在播放页追问剧情,回答仍在浮层；未展示关闭或停止播放,video,H7-V09,AUDIMG-171|AUDIMG-172|AUDIMG-173|AUDIMG-174|AUDIMG-175|AUDIMG-176|AUDIMG-177|AUDIMG-178|AUDIMG-179|AUDIMG-180|AUDIMG-181|AUDIMG-182|AUDIMG-183
HUA-F26,华为,阅读荐书、问书与选词,原生应用Agent,应用AI入口,79,书城进入阅读助手；具体触发手势未见,输入找书要求，查看推荐并打开书籍,停在《宋史》详情；未进入阅读或返回,video,HR35-01|HR35-02|H7-V10,AUDIMG-187
HUA-F27,华为,主题个性化与新预览,原生应用Agent,应用AI入口,79,主题详情点AI个性化，进入编辑预览,键入换人要求并提交，显示生成进度,新人物预览出现；应用按钮未点击，未退出,video,H7-V11,
HUA-F28,华为,帮帮忙代操作与教学,旧版代操作,应用AI入口,81,长按导航条说缓存请求；教学展示打开华为视频,上滑收至后台，可继续聊天；点导航条胶囊返回任务页,收起仍执行；停止路径见右图，未录到确认后的终止结果,video,RE05|HW26-01|HW26-02,HT12-STOP|HT12-HANDOFF
APL-F01,Apple iPhone,Siri语音与侧键,Siri语音与侧键,系统入口,83,文档：语音或侧键；本片唤醒动作未核,Siri出现，显示天气卡；传统历史界面,底部触屏后收起回答，回原设置页,video,AP29-01,APL24-V3-019
APL-F02,Apple iPhone,Type to Siri,系统入口,系统入口,84,双击屏幕底部 → 键入请求并提交,键入请求并提交,查看回复或继续追问；退出路径待补实机,video,A3-01,APL-F02-UI-000
APL-F03,Apple iPhone,视觉智能实景入口,屏幕与对象,条件入口,85,按住Camera Control；或操作按钮 / 控制中心,对准物体，点搜索；文字可用翻译等动作,关闭结果或上滑返回主屏幕（实机见右图）,video,AP01,APL-F03-UI-000
APL-F04,Apple iPhone,截图视觉智能,屏幕与对象,条件入口,85,同时短按侧键与音量上键截屏,划过目标进行视觉搜索；也可Ask提问,关闭截图；按需要保存或删除,video,A26-V01,MED-I006
APL-F06,Apple iPhone,长按提取照片主体,屏幕与对象,条件入口,86,全屏打开照片或暂停视频，长按主体,出现轮廓后，点Copy Subject或Share,在目标应用粘贴或分享,image,,AUDIMG-014
APL-F05,Apple iPhone,实况文本与视觉查询,照片查询与返回,条件入口,87,照片点带星标的信息键，再点Look Up；实况文本为另一入口,查看识别结果和物种详情；文字复制/翻译未在本片展示,详情面板下收后关闭，回到原照片信息页；仍在Photos,video,AE20-01|A2-01,AE20-01-PHONE-3|AE20-01-PHONE-2|AE20-01-PHONE-1
APL-F07,Apple iPhone,Writing Tools,写作与办公,应用AI入口,88,选中文字菜单 / 键盘右上Writing Tools,校对、改写、摘要或输入自定义要求,选择保留 / 复制 / 撤回；发送仍由用户决定,video,A2-03,MED-I007
APL-F10,Apple iPhone,Notes录音摘要,写作与办公,应用AI入口,88,笔记中打开已有录音附件；新建录音另行操作,转写页点Summary，查看摘要,Back回转写，Done结束；图未展示点击动作,image,,NSNOTE7-A|NS7-APL-F10-02|NS7-APL-F10-01|NSNOTE7-B|NSNOTE7-C
APL-F08,Apple iPhone,邮件摘要与智能回复,邮件串摘要流程,应用AI入口,89,收件箱点邮件串，进入会话详情,点Summarize，等待顶部摘要出现,原文留在摘要下方；返回未演示,video,AM39-01,AUDIMG-001
APL-F09,Apple iPhone,Safari网页摘要,Safari摘要与回读,应用AI入口,90,页面菜单 → Show Reader → Summary,查看摘要；再点Summary折叠，仍在Reader,手指按返回区域；Google画面为原片跳切,video,AS40-01|AS40-02,APL-SAF-UI-V3-5|APL-SAF-UI-V3-6|APL-SAF-UI-V3-7|APL-SAF-UI-V3-8
APL-F11,Apple iPhone,通知摘要与专注模式,主动建议与通信,条件入口,91,打开通知中心或锁屏通知 → 阅读摘要或优先通知,阅读摘要或优先通知 → 展开相关通知核对完整内容,点击进入对应应用；退出路径待补实机,image,,AUDIMG-021
APL-F12,Apple iPhone,Messages摘要/回复/投票,主动建议与通信,条件入口,91,Messages群聊中点Create Poll建议,核对投票选项；摘要/回复操作图待补,图示已出现投票卡；退出群聊未展示,image,,APL-F12-V6-01|APL-F12-V6-02
APL-F13,Apple iPhone,提醒事项建议与分组,主动建议与通信,条件入口,91,打开内容，点Share → Reminders,选择清单，勾选建议或Include All,点击完成，保存提醒事项,image,,APL-F13-UI-000
APL-F14,Apple iPhone,消息与FaceTime翻译,主动建议与通信,条件入口,91,外语信息会话中点顶部联系人或群组,调整Translate From / Translate To,返回看译文；在Translating中看原文或停止,image,,AUDIMG-016
APL-F15,Apple iPhone,电话实时翻译,通话,应用AI入口,92,一对一电话中点更多 → Live Translation,选择双方语言，点Start Translation,听取并查看译文；退出路径待核实,image,,APL-F15-UI-003
APL-F16,Apple iPhone,Hold Assist等待助理,通话,应用AI入口,92,通话被置于等待时点击更多 → 点击 Hold Assist,点击 Hold Assist → 收到接通提醒时查看提示,点击重新加入通话；退出路径待补实机,image,,APL-F16-UI-002
APL-F17,Apple iPhone,通话录音与留言摘要,通话录音与回看,应用AI入口,93,通话中点More → Call Recording,显示录音告知，随后出现计时条,另段在Notes打开录音；挂断未拍,video,AC39-01|AC39-03,APL-LAUNCH-UI-V3-3
APL-F18,Apple iPhone,Genmoji表情键盘,Genmoji生成与返回,应用AI入口,94,表情键盘中点Genmoji,添加建议组合，左右浏览生成候选,底部上滑回主屏幕；未展示采用或发送,video,AE17-01|A2-04,APL-F18-UI-000
APL-F19,Apple iPhone,Image Playground,图像生成与返回,应用AI入口,95,桌面滑至App资源库，搜索Playground并点New Image,新建页为Genmoji；后段展示Animation人物候选,上滑进入多任务，再回App资源库；未证明点Save保存,video,A2-05|AP26-01|AP27-01|A26-V02,APL-F12-UI-005|AUDIMG-005
APL-F20,Apple iPhone,Notes Image Wand,笔记图像魔杖,应用AI入口,96,Notes绘图工具中选Image Wand；左侧为海滩草图示例,圈住草图并补描述；机器人为另一段文字上下文任务,机器人示例点Done后回笔记，可继续编辑；未离开Notes,video,A4-01|A4-02|AP26-02,
APL-F21,Apple iPhone,Photos Clean Up,照片消除与完成,应用AI入口,97,打开照片，点编辑→Clean Up,点选、涂抹或圈出对象，检查修补结果,点Done结束编辑；原片后段回到照片查看页，未离开Photos,video,AE16-01|A2-02,
APL-F22,Apple iPhone,照片搜索与回忆影片,照片搜索与回忆,应用AI入口,98,图库点底部搜索，展开输入键盘,输入Tower；显示No Results与分析提示,另段People搜索后返回Library,video,AP38-01|AP38-02,APL-F21-UI-000|MED-I008
APL-F23,Apple iPhone,Live Recognition快捷入口,无障碍,应用AI入口,99,先开启VoiceOver，再四指三击启用实时识别,选择识别类别，对准环境；图中已选文字,再四指三击或点Stop Recognition；退出未拍到,image,,AV8-IMG-01
PIX-F01,Google Pixel,Gemini全局唤醒,Gemini唤起与返回,系统入口,101,主屏按右侧实体键区域，Gemini展开,点Ask Gemini输入；另段滚动回答,点回答卡外主屏区域，面板消失,video,PX38-02|PX38-01,PIX-GEMINI-PANEL-v2
PIX-F02,Google Pixel,Gemini Live相机,系统入口,系统入口,102,Gemini面板 → Live → 相机按钮,对准目标并口述；此教程预览黑屏,点相机按钮停止共享；红叉结束整个Live,video,PX01|P3-01,
PIX-F03,Google Pixel,Gemini Live共享屏幕,系统入口,系统入口,102,Gemini面板点Share screen with Live；也可从Live内开启共享,切回需要讨论的App，围绕共享画面持续提问,在通知中停止共享；点Hang up结束整个Live,video,P5-01,P5-ENTRY-V5|P5-END-V5
PIX-F04,Google Pixel,问当前屏幕/网页/视频,屏幕与对象,条件入口,103,打开目标App或网页，唤起Gemini,点Ask about screen / page，输入问题,图为通用Android，机型未标；退出未展示,image,,GEMCONTEXT6-0|GEMCONTEXT6-1|GEMCONTEXT6-2
PIX-F05,Google Pixel,Circle to Search,屏幕与对象,条件入口,103,长按Home或底部导航条,圈选目标；可在Add to your search补充文字,查看结果，返回原应用,video,MED-V028,
PIX-F06,Google Pixel,AI Mode与个人搜索,屏幕与对象,条件入口,103,点主屏搜索栏的AI Mode图标,输入问题并追问；本图只显示入口,返回主屏；个人搜索和退出操作图待补,image,,PG7-A01
PIX-F07,Google Pixel,Lens拍照翻译,屏幕与对象,条件入口,103,主屏搜索栏点Lens；图为2023年官方演示,选Translate，再选已存图片；拍照为另支线,查看覆盖译文；本片未展示返回动作,video,PGL7-01,PG7-A02|PG7-A03|PG7-A04
PIX-F08,Google Pixel,Screenshots保存与检索,记忆与主动建议,条件入口,104,截图后点缩略图；也可打开Screenshots App,在App搜索已保存截图，或进入单张截图,核对来源并使用建议动作；返回图库,image,,PIX-SHOTS-UI-003
PIX-F09,Google Pixel,Magic Cue,记忆与主动建议,条件入口,104,在支持的App情境中接收Magic Cue建议,点建议信息使用；长按可查看来源,核对引用内容；设置中管理数据源和开关,image,,PIX-CUE-UI-001|PIX-CUE-UI-002
PIX-F10,Google Pixel,主动建议与At a Glance,记忆与主动建议,条件入口,104,启用Proactive assistance并授权数据源,点击消息或At a Glance情境建议，进入任务,核对预填信息；预订仍需确认，节选未完成,video,MED-V027,
PIX-F11,Google Pixel,Gboard Rambler语音,写作与无障碍,应用AI入口,105,文本框中调出Gboard，点麦克风,自然口述；点Done或松开麦克风结束,核对写入文字，按需口述修改,video,MED-V026,RAMBLER-V5-0|RAMBLER-V5-1
PIX-F13,Google Pixel,手语转文字入口,写作与无障碍,应用AI入口,105,Gboard点Sign-to-text；或在Live Transcribe使用,对前摄用ASL表达；双手移出后查看英语文字,Gboard再点Sign-to-text回键盘；图示为转写App,image,,PXSIGN-UI-V3-001
PIX-F14,Google Pixel,Recorder摘要,写作与无障碍,应用AI入口,106,Recorder中打开录音，进入Transcript,按提示启用后，点Summarize,展开摘要，回听录音；退出路径待核实,video,REC6-01,
PIX-F12,Google Pixel,Gboard Writing tools,键盘改写与回填,应用AI入口,107,Gboard写草稿后点Writing tools,选风格，查看Professional候选，再点Use this,新文回填，普通键盘恢复；未点Undo或发送,video,P4-01|PX26-01,
PIX-F15,Google Pixel,Call Screen筛选来电,通话与翻译,应用AI入口,108,收到来电时点击 Screen call → 阅读实时转写,阅读实时转写,选择建议回复或接听、挂断；退出路径待补实机,video,PX-02,
PIX-F16,Google Pixel,Take a Message留言,通话与翻译,应用AI入口,108,未接或拒接后查看Taking a Message通知,可点Answer接听；或在Phone的Home打开记录,查看录音、转写和后续建议；退出待核实,image,,PIX-MESSAGE-UI-000
PIX-F18,Google Pixel,聊天与媒体Live Translate,通话与翻译,应用AI入口,108,聊天收到外语信息，按提示启用翻译,来信转译；输入回复并检查目标语言,确认发送；媒体翻译与退出未在本片展示,video,PGC7-01,PG7-A08|PG7-A05|PG7-A06|PG7-A07
PIX-F17,Google Pixel,电话语音翻译,通话语音翻译,应用AI入口,109,通话中点通话辅助，选语音翻译,确认对方语言，进入通译界面,片中未停止翻译或挂断；译音效果未测,video,AU23-01,PIX-DROP-UI-003|AU23-LANGUAGE|AU23-ACTIVE
PIX-F19,Google Pixel,Magic Capture,相机与照片,应用AI入口,110,相机模式滑条中选Magic Capture,对准场景拍摄，点Stop结束,点缩略图查看；本片仍显示Processing,video,MC6-01|MC6-02,
PIX-F20,Google Pixel,Google Photos问答与编辑,相机与照片,应用AI入口,110,打开照片：点Ask提问，或进编辑中的Ask,描述照片问题或编辑要求，核对回答或预览,编辑结果按需保存；问答退出路径待核实,image,,PIX-DROP-UI-005
SAM-F01,Samsung Galaxy,侧键/语音Gemini与Bixby,系统入口,系统入口,112,Hey Google / Hi Bixby，或长按已配置侧键,向当前助手提问；Bixby可查找与调整设置,核对回答或设置变化；节选未展示收起面板,video,MED-V030|MED-V031,SAMG-V3-148
SAM-F02,Samsung Galaxy,Gemini Live相机与屏幕,系统入口,系统入口,112,Gemini面板点Live图标,点相机对准对象；或点共享屏幕并确认,红叉结束整个Live；配图B为共享屏幕分支,image,,SAMG-V3-158|SAMG-V3-160|SAMG-V3-162|SAMG-V3-164|SAMG-V3-166
SAM-F03,Samsung Galaxy,Circle to Search,圈选搜索与返回,条件入口,113,图库选照片后长按Home；手势导航可长按底部导航条,圈选对象，上滑搜索结果；本片查看盆栽匹配,实录按Home键回到主屏幕，未回原照片；S25官方片未展示退出,video,CTS20-01|CTS20-02,CTS20-02-PHONE-4|CTS20-02-PHONE-3|CTS20-02-PHONE-2|CTS20-02-PHONE-1|MED-I014
SAM-F04,Samsung Galaxy,Edge AI Select,AI Select日历动作,条件入口,114,邮件已打开：长按右侧Edge handle,斜向划过票据，点识别出的日期,日历改标题→Save→月历显示日程,video,AS31-01|AS31-02|AR32-01|AR32-02|AR32-03|AR32-04,MED-I009
SAM-F05,Samsung Galaxy,Gemini问当前屏幕,屏幕与对象,条件入口,116,在目标页面唤起Gemini面板,点Ask about this screen或video并提问,图为通用Android，机型未标；退出未展示,image,,GEMCONTEXT6-0|GEMCONTEXT6-1|GEMCONTEXT6-2
SAM-F06,Samsung Galaxy,Finder与Gallery搜索,屏幕与对象,条件入口,116,先启用主屏Finder，再点Finder按钮,用自然语言搜索；Gallery搜索操作图待补,点结果继续处理；图中未展示退出,image,,FINDER6-SET|FINDER6-HOME|FINDER6-QUERY|FINDER6-RESULT|SAM-F06-V6-03|SAM-F06-V6-02|SAM-F06-V6-01
SAM-F07,Samsung Galaxy,Now Brief与Now Bar,个人简报,条件入口,117,入口有小组件、Edge与锁屏；录像另示设置,本页右上开启Audio brief播报,点暂停后控件变为播放；仍在简报页,video,SA23-02|SA08,AUDIMG-059|SA23-PLAYING|SA23-PAUSED
SAM-F08,Samsung Galaxy,Now Nudge,主动建议,条件入口,118,在消息会话中点View calendar等建议,查看日历；也可点Add event创建事件,新事件需点Save；节选只展示查看日历,video,MED-V029,
SAM-F09,Samsung Galaxy,通知摘要与Health Assist,主动建议,条件入口,118,打开通知面板 → 阅读优先排序或聊天摘要,阅读优先排序或聊天摘要 → 展开通知核对原文,点击进入原App；退出路径待补实机,video,SA09,
SAM-F10,Samsung Galaxy,Flip外屏建议回复,主动建议,条件入口,118,在Flip外屏点开消息通知,点Suggest replies，浏览并选择建议,核对内容后发送；图示尚未发送,image,,SAMWRITE-V4-180|SAMWRITE-V4-182|SAMWRITE-V4-184
SAM-F11,Samsung Galaxy,Samsung Keyboard写作,键盘AI风格改写,应用AI入口,119,键盘AI菜单点Writing style；拼写纠正为左侧另一支线,浏览风格候选，找到Polite；本页省略中间8秒浏览,点Replace回填邮件，普通键盘恢复；未发送、撤销或退出Outlook,video,SA02|SA25-01|SA25-02,
SAM-F12,Samsung Galaxy,Samsung Notes整理,笔记自动整理,应用AI入口,120,打开笔记，点AI→Auto format,查看排版结果；摘要和录音为另路,Add to→New note；新笔记已显示，未返回列表,video,SA23-01|SA04,AUDIMG-024|AUDIMG-025|AUDIMG-026|AUDIMG-027|AUDIMG-028|AUDIMG-029|AUDIMG-030|AUDIMG-031|AUDIMG-032|AUDIMG-033|AUDIMG-034|AUDIMG-037|AUDIMG-038|AUDIMG-039|AUDIMG-044|SA23-NEW-MENU|SA23-NEW-NOTE
SAM-F13,Samsung Galaxy,Recorder转写摘要,录音摘要与格式,应用AI入口,121,文档：录音页点Transcribe；新片从摘要样式面板开始,从Topical outline切到Timeline，点Done确认,摘要更新后可继续查看；未导入Notes或退出录音机,video,SA26-01,AUDIMG-035|AUDIMG-036|AUDIMG-047|AUDIMG-048|AUDIMG-049|AUDIMG-050|AUDIMG-051|AUDIMG-052|AUDIMG-055|AUDIMG-056
SAM-F14,Samsung Galaxy,Browser网页摘要,网页浏览辅助,应用AI入口,122,网页底栏点AI，再点Summarise,生成摘要；原片另示摘要风格切换,结果仍显示；关闭动作未展示,video,BR37-01|SA05,AUDIMG-062|AUDIMG-064|AUDIMG-065|AUDIMG-070|AUDIMG-075|AUDIMG-076|AUDIMG-077|AUDIMG-078
SAM-F15,Samsung Galaxy,通话筛选与文字接听,通话筛选与挂断,应用AI入口,123,来电页Call assist → Call screening,点Text call，输入No thanks并发送,点红色电话按钮，显示Call ended,video,CL37-01|CL37-02|SA01,MED-I011
SAM-F16,Samsung Galaxy,电话实时翻译与摘要,电话翻译与摘要,应用AI入口,124,来电页点Call assist，再点Live translate,语言已预设；查看通话双语字幕,停止控件仅可见；未点停止或挂断,video,SA29-01|SA29-02,AUDIMG-058
SAM-F17,Samsung Galaxy,快捷面板Interpreter,面对面同传,应用AI入口,125,下拉展开快捷面板，选择Interpreter,对话模式点麦克风；听译为独立片段,听译点麦克风停止，译文保留；未退出应用,video,SI29-01|SI29-02|SI29-03,AUDIMG-040|AUDIMG-041
SAM-F18,Samsung Galaxy,Photo Assist与建议修图,图像与音频,应用AI入口,126,图库照片 → AI / Photo assist,点选或圈选主体；擦除、移动、生成并继续调整,核对结果 → Save as copy；保留原片,video,SA03|MED-V032,MED-I013
SAM-F21,Samsung Galaxy,Gallery Instant Slow-mo,图像与音频,应用AI入口,126,图库打开视频，按住画面启动慢放,松手结束该段；出现保存慢动作按钮,点保存，等待进度完成，在图库查看新片段,video,SL6-01|SL6-02,SAM-F21-V6-01
SAM-F22,Samsung Galaxy,相机文档扫描,图像与音频,应用AI入口,126,相机对准文档，点击Scan,按需旋转、加滤镜或清理干扰,点击Save存入图库,image,,MED-I012
SAM-F23,Samsung Galaxy,Studio Auto Trim自动剪辑,图像与音频,应用AI入口,126,图库菜单 → Studio，新建项目并选视频,编辑页点Auto Trim，选时长后Apply,完成编辑后点Save movie，回图库查看,video,AUT6-01|AUT6-02|AUT6-03,SAM-F21-V6-02|SAM-F21-V6-03|SAM-F21-V6-04|SAM-F21-V6-05|SAM-F21-V6-06
SAM-F19,Samsung Galaxy,Drawing / Creative Studio,图像创作与返回,应用AI入口,127,打开Creative Studio；本片含选图与创作入口支线,选照片、查看候选，再用文字继续修改,侧边返回到结果页；后段跳切回首页。未展示导出或应用壁纸,video,SC18-01|SC18-02|SA06,
SAM-F20,Samsung Galaxy,视频Audio Eraser,音频分类消除,应用AI入口,128,图库视频点底部星形AI按钮,分析后选Noise，将数值调至−100,编辑器内预览；保存和退出未展示,video,AU37-01|SA07,
